Region,State,StateCode,Education,EducationCode,DeliveryMethod,DeliveryMethodCode,TobaccoUse,TobaccoUseCode,Births,Pctof TotalBirths,AverageBirthWeight,AverageAgeofMother
1,Maine,23,"Associate degree (AA, AS)",5,Vaginal,1,No,2,807,0.02%,3443.41,29.12
1,Maine,23,"Associate degree (AA, AS)",5,Cesarean,2,Yes,1,30,0.00%,3069.3,30.5
1,Maine,23,"Associate degree (AA, AS)",5,Cesarean,2,No,2,360,0.01%,3320.36,30.51
1,Maine,23,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,Yes,1,36,0.00%,3209.89,31.5
1,Maine,23,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,No,2,1973,0.05%,3458.67,30.79
1,Maine,23,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,Yes,1,29,0.00%,3218.83,32.41
1,Maine,23,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,No,2,779,0.02%,3375.14,31.73
1,Maine,23,"Master's degree (MA, MS)",7,Vaginal,1,No,2,862,0.02%,3456.54,32.51
1,Maine,23,"Master's degree (MA, MS)",7,Cesarean,2,No,2,370,0.01%,3339.72,33.38
1,Maine,23,"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Vaginal,1,No,2,265,0.01%,3405.43,32.94
1,Maine,23,"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Cesarean,2,No,2,113,0.00%,3373.13,34.17
1,Maine,23,Unknown/Not on certificate,Unk,Vaginal,1,No,2,12,0.00%,2920.83,36.58
1,Massachusetts,25,8th grade or less,1,Vaginal,1,Yes,1,56,0.00%,2987.53,26.48
1,Massachusetts,25,8th grade or less,1,Vaginal,1,No,2,1185,0.03%,3264.05,28.89
1,Massachusetts,25,8th grade or less,1,Cesarean,2,Yes,1,24,0.00%,2446.04,28.38
1,Massachusetts,25,8th grade or less,1,Cesarean,2,No,2,386,0.01%,3227.32,31.08
1,Massachusetts,25,9th through 12th grade with no diploma,2,Vaginal,1,Yes,1,438,0.01%,3086.92,26.22
1,Massachusetts,25,9th through 12th grade with no diploma,2,Vaginal,1,No,2,2869,0.07%,3231.97,25.35
1,Massachusetts,25,9th through 12th grade with no diploma,2,Cesarean,2,Yes,1,190,0.00%,2950.78,28.02
1,Massachusetts,25,9th through 12th grade with no diploma,2,Cesarean,2,No,2,1110,0.03%,3197.72,28.12
1,Massachusetts,25,High school graduate or GED completed,3,Vaginal,1,Yes,1,952,0.02%,3166.2,26.55
1,Massachusetts,25,High school graduate or GED completed,3,Vaginal,1,No,2,6797,0.17%,3283.25,27.17
1,Massachusetts,25,High school graduate or GED completed,3,Cesarean,2,Yes,1,408,0.01%,3042.59,28.13
1,Massachusetts,25,High school graduate or GED completed,3,Cesarean,2,No,2,3025,0.08%,3228.03,29.24
1,Massachusetts,25,"Some college credit, but not a degree",4,Vaginal,1,Yes,1,819,0.02%,3154.22,28.49
1,Massachusetts,25,"Some college credit, but not a degree",4,Vaginal,1,No,2,8109,0.21%,3329.82,28.3
1,Massachusetts,25,"Some college credit, but not a degree",4,Cesarean,2,Yes,1,386,0.01%,3039,29.43
1,Massachusetts,25,"Some college credit, but not a degree",4,Cesarean,2,No,2,3924,0.10%,3274.79,30.1
1,Massachusetts,25,"Associate degree (AA, AS)",5,Vaginal,1,Yes,1,112,0.00%,3204.34,30.68
1,Massachusetts,25,"Associate degree (AA, AS)",5,Vaginal,1,No,2,2764,0.07%,3349.08,30.59
1,Massachusetts,25,"Associate degree (AA, AS)",5,Cesarean,2,Yes,1,73,0.00%,3131.34,31.15
1,Massachusetts,25,"Associate degree (AA, AS)",5,Cesarean,2,No,2,1479,0.04%,3265.52,32.06
1,Massachusetts,25,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,Yes,1,101,0.00%,3175.64,31.66
1,Massachusetts,25,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,No,2,11933,0.30%,3385.32,31.81
1,Massachusetts,25,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,Yes,1,57,0.00%,3217.16,33.35
1,Massachusetts,25,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,No,2,5442,0.14%,3310.61,33.11
1,Massachusetts,25,"Master's degree (MA, MS)",7,Vaginal,1,Yes,1,30,0.00%,3222.9,34.5
1,Massachusetts,25,"Master's degree (MA, MS)",7,Vaginal,1,No,2,8691,0.22%,3387.02,32.95
1,Massachusetts,25,"Master's degree (MA, MS)",7,Cesarean,2,Yes,1,16,0.00%,3073.62,32.38
1,Massachusetts,25,"Master's degree (MA, MS)",7,Cesarean,2,No,2,3927,0.10%,3310.7,33.85
1,Massachusetts,25,"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Vaginal,1,No,2,2767,0.07%,3332.68,34.04
1,Massachusetts,25,"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Cesarean,2,No,2,1215,0.03%,3251.36,35.29
1,Massachusetts,25,Unknown/Not on certificate,Unk,Vaginal,1,Yes,1,18,0.00%,3153.83,28.56
1,Massachusetts,25,Unknown/Not on certificate,Unk,Vaginal,1,No,2,1236,0.03%,3292.18,30.6
1,Massachusetts,25,Unknown/Not on certificate,Unk,Cesarean,2,Yes,1,14,0.00%,2979.86,31.29
1,Massachusetts,25,Unknown/Not on certificate,Unk,Cesarean,2,No,2,620,0.02%,3209.61,32.76
1,Massachusetts,25,Unknown/Not on certificate,Unk,Not Stated,9,No,2,96,0.00%,2988.67,32.2
1,New Hampshire,33,8th grade or less,1,Vaginal,1,No,2,50,0.00%,3399.36,30.32
1,New Hampshire,33,8th grade or less,1,Cesarean,2,No,2,24,0.00%,3386.38,30.92
1,New Hampshire,33,9th through 12th grade with no diploma,2,Vaginal,1,Yes,1,165,0.00%,3033.46,24.91
1,New Hampshire,33,9th through 12th grade with no diploma,2,Vaginal,1,No,2,281,0.01%,3342.54,23.85
1,New Hampshire,33,9th through 12th grade with no diploma,2,Vaginal,1,Not Stated,9,15,0.00%,3058.27,25.13
1,New Hampshire,33,9th through 12th grade with no diploma,2,Cesarean,2,Yes,1,74,0.00%,3101.16,26.16
1,New Hampshire,33,9th through 12th grade with no diploma,2,Cesarean,2,No,2,119,0.00%,3262.38,25.92
1,New Hampshire,33,High school graduate or GED completed,3,Vaginal,1,Yes,1,410,0.01%,3181.99,25.65
1,New Hampshire,33,High school graduate or GED completed,3,Vaginal,1,No,2,1355,0.03%,3403.32,26.27
1,New Hampshire,33,High school graduate or GED completed,3,Vaginal,1,Not Stated,9,46,0.00%,3499.83,26.17
1,New Hampshire,33,High school graduate or GED completed,3,Cesarean,2,Yes,1,211,0.01%,3087.62,27.31
1,New Hampshire,33,High school graduate or GED completed,3,Cesarean,2,No,2,582,0.01%,3351.18,27.86
1,New Hampshire,33,High school graduate or GED completed,3,Cesarean,2,Not Stated,9,11,0.00%,3253.73,30.27
1,New Hampshire,33,"Some college credit, but not a degree",4,Vaginal,1,Yes,1,221,0.01%,3215.16,27.78
1,New Hampshire,33,"Some college credit, but not a degree",4,Vaginal,1,No,2,1534,0.04%,3395.89,27.95
1,New Hampshire,33,"Some college credit, but not a degree",4,Vaginal,1,Not Stated,9,32,0.00%,3301.34,26.97
1,New Hampshire,33,"Some college credit, but not a degree",4,Cesarean,2,Yes,1,117,0.00%,3090.84,29.68
1,New Hampshire,33,"Some college credit, but not a degree",4,Cesarean,2,No,2,636,0.02%,3390.66,29.22
1,New Hampshire,33,"Some college credit, but not a degree",4,Cesarean,2,Not Stated,9,13,0.00%,3294.31,28.54
1,New Hampshire,33,"Associate degree (AA, AS)",5,Vaginal,1,Yes,1,43,0.00%,3254.77,29.98
1,New Hampshire,33,"Associate degree (AA, AS)",5,Vaginal,1,No,2,671,0.02%,3441.61,29.92
1,New Hampshire,33,"Associate degree (AA, AS)",5,Vaginal,1,Not Stated,9,14,0.00%,3392.64,29.36
1,New Hampshire,33,"Associate degree (AA, AS)",5,Cesarean,2,Yes,1,30,0.00%,2865.1,31.03
1,New Hampshire,33,"Associate degree (AA, AS)",5,Cesarean,2,No,2,326,0.01%,3372.74,31.1
1,New Hampshire,33,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,Yes,1,34,0.00%,3058.65,31.65
1,New Hampshire,33,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,No,2,2060,0.05%,3436.32,31.21
1,New Hampshire,33,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,Not Stated,9,27,0.00%,3366.74,31.81
1,New Hampshire,33,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,Yes,1,11,0.00%,3162.55,31.82
1,New Hampshire,33,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,No,2,873,0.02%,3324.86,32.21
1,New Hampshire,33,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,Not Stated,9,12,0.00%,3054.5,33.25
1,New Hampshire,33,"Master's degree (MA, MS)",7,Vaginal,1,No,2,1189,0.03%,3426.57,32.28
1,New Hampshire,33,"Master's degree (MA, MS)",7,Vaginal,1,Not Stated,9,16,0.00%,3501.94,32.75
1,New Hampshire,33,"Master's degree (MA, MS)",7,Cesarean,2,No,2,581,0.01%,3354.37,33.23
1,New Hampshire,33,"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Vaginal,1,No,2,249,0.01%,3405.6,33.36
1,New Hampshire,33,"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Cesarean,2,No,2,121,0.00%,3118.34,34.31
1,New Hampshire,33,Unknown/Not on certificate,Unk,Vaginal,1,No,2,41,0.00%,3320.34,29.71
1,New Hampshire,33,Unknown/Not on certificate,Unk,Cesarean,2,No,2,18,0.00%,3124.28,32.56
1,Rhode Island,44,8th grade or less,1,Vaginal,1,No,2,197,0.00%,3282.9,28.94
1,Rhode Island,44,8th grade or less,1,Cesarean,2,No,2,64,0.00%,3178.27,30.86
1,Rhode Island,44,9th through 12th grade with no diploma,2,Vaginal,1,Yes,1,111,0.00%,3063.85,26.23
1,Rhode Island,44,9th through 12th grade with no diploma,2,Vaginal,1,No,2,573,0.01%,3237.24,24.24
1,Rhode Island,44,9th through 12th grade with no diploma,2,Vaginal,1,Not Stated,9,29,0.00%,3118.83,25.14
1,Rhode Island,44,9th through 12th grade with no diploma,2,Cesarean,2,Yes,1,54,0.00%,2762.81,25.83
1,Rhode Island,44,9th through 12th grade with no diploma,2,Cesarean,2,No,2,175,0.00%,3185.32,26.22
1,Rhode Island,44,High school graduate or GED completed,3,Vaginal,1,Yes,1,187,0.00%,3173.97,27.07
1,Rhode Island,44,High school graduate or GED completed,3,Vaginal,1,No,2,1211,0.03%,3287.04,26.23
1,Rhode Island,44,High school graduate or GED completed,3,Vaginal,1,Not Stated,9,45,0.00%,3228.5,24.8
1,Rhode Island,44,High school graduate or GED completed,3,Cesarean,2,Yes,1,94,0.00%,3006.38,29.54
1,Rhode Island,44,High school graduate or GED completed,3,Cesarean,2,No,2,485,0.01%,3238.66,28.24
1,Rhode Island,44,High school graduate or GED completed,3,Cesarean,2,Not Stated,9,12,0.00%,3638.33,29.83
1,Rhode Island,44,"Some college credit, but not a degree",4,Vaginal,1,Yes,1,98,0.00%,3136.31,28.57
1,Rhode Island,44,"Some college credit, but not a degree",4,Vaginal,1,No,2,1334,0.03%,3326.9,27.81
1,Rhode Island,44,"Some college credit, but not a degree",4,Vaginal,1,Not Stated,9,35,0.00%,3374.91,28.03
1,Rhode Island,44,"Some college credit, but not a degree",4,Cesarean,2,Yes,1,70,0.00%,3124.64,29.41
1,Rhode Island,44,"Some college credit, but not a degree",4,Cesarean,2,No,2,544,0.01%,3299.98,29.59
1,Rhode Island,44,"Associate degree (AA, AS)",5,Vaginal,1,Yes,1,27,0.00%,3236.33,31.41
1,Rhode Island,44,"Associate degree (AA, AS)",5,Vaginal,1,No,2,427,0.01%,3319.27,29.85
1,Rhode Island,44,"Associate degree (AA, AS)",5,Cesarean,2,Yes,1,13,0.00%,3183.69,32.31
1,Rhode Island,44,"Associate degree (AA, AS)",5,Cesarean,2,No,2,221,0.01%,3307.69,31.33
1,Rhode Island,44,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,Yes,1,17,0.00%,3164.71,31.47
1,Rhode Island,44,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,No,2,1396,0.04%,3362.57,31.28
1,Rhode Island,44,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,Not Stated,9,10,0.00%,3223.3,30.4
1,Rhode Island,44,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,Yes,1,17,0.00%,3020.35,31.65
1,Rhode Island,44,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,No,2,653,0.02%,3289.74,32.62
1,Rhode Island,44,"Master's degree (MA, MS)",7,Vaginal,1,No,2,688,0.02%,3346.73,32.56
1,Rhode Island,44,"Master's degree (MA, MS)",7,Cesarean,2,No,2,339,0.01%,3250.16,33.6
1,Rhode Island,44,"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Vaginal,1,No,2,240,0.01%,3349.21,33.39
1,Rhode Island,44,"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Cesarean,2,No,2,91,0.00%,3152.14,34.93
1,Rhode Island,44,Unknown/Not on certificate,Unk,Vaginal,1,Yes,1,42,0.00%,3112.62,26.64
1,Rhode Island,44,Unknown/Not on certificate,Unk,Vaginal,1,No,2,639,0.02%,3269.68,28.77
1,Rhode Island,44,Unknown/Not on certificate,Unk,Vaginal,1,Not Stated,9,97,0.00%,3024.95,27.77
1,Rhode Island,44,Unknown/Not on certificate,Unk,Cesarean,2,Yes,1,24,0.00%,3209.21,27.71
1,Rhode Island,44,Unknown/Not on certificate,Unk,Cesarean,2,No,2,424,0.01%,3293.56,30.95
1,Rhode Island,44,Unknown/Not on certificate,Unk,Cesarean,2,Not Stated,9,45,0.00%,2982.24,29.91
1,Vermont,50,8th grade or less,1,Vaginal,1,No,2,26,0.00%,3230.92,28.27
1,Vermont,50,9th through 12th grade with no diploma,2,Vaginal,1,Yes,1,101,0.00%,3046.1,24.67
1,Vermont,50,9th through 12th grade with no diploma,2,Vaginal,1,No,2,147,0.00%,3355.78,23.92
1,Vermont,50,9th through 12th grade with no diploma,2,Cesarean,2,Yes,1,57,0.00%,2856.82,26.54
1,Vermont,50,9th through 12th grade with no diploma,2,Cesarean,2,No,2,57,0.00%,3148.96,25.47
1,Vermont,50,High school graduate or GED completed,3,Vaginal,1,Yes,1,313,0.01%,3037.85,25.9
1,Vermont,50,High school graduate or GED completed,3,Vaginal,1,No,2,741,0.02%,3387.63,26
1,Vermont,50,High school graduate or GED completed,3,Vaginal,1,Not Stated,9,20,0.00%,3330.6,25
1,Vermont,50,High school graduate or GED completed,3,Cesarean,2,Yes,1,116,0.00%,2987.86,28.11
1,Vermont,50,High school graduate or GED completed,3,Cesarean,2,No,2,237,0.01%,3364.18,27.57
1,Vermont,50,"Some college credit, but not a degree",4,Vaginal,1,Yes,1,137,0.00%,3258.65,27.82
1,Vermont,50,"Some college credit, but not a degree",4,Vaginal,1,No,2,625,0.02%,3437.29,27.41
1,Vermont,50,"Some college credit, but not a degree",4,Vaginal,1,Not Stated,9,11,0.00%,3238.45,24.82
1,Vermont,50,"Some college credit, but not a degree",4,Cesarean,2,Yes,1,61,0.00%,3072.54,27.74
1,Vermont,50,"Some college credit, but not a degree",4,Cesarean,2,No,2,211,0.01%,3367.04,29.24
1,Vermont,50,"Associate degree (AA, AS)",5,Vaginal,1,Yes,1,20,0.00%,3199.75,29.5
1,Vermont,50,"Associate degree (AA, AS)",5,Vaginal,1,No,2,287,0.01%,3446,29.78
1,Vermont,50,"Associate degree (AA, AS)",5,Cesarean,2,Yes,1,15,0.00%,3327.87,30.07
1,Vermont,50,"Associate degree (AA, AS)",5,Cesarean,2,No,2,116,0.00%,3414.77,31.33
1,Vermont,50,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,Yes,1,26,0.00%,3210.46,31.35
1,Vermont,50,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,No,2,1052,0.03%,3454.13,31.65
1,Vermont,50,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,Not Stated,9,12,0.00%,3430.27,30.75
1,Vermont,50,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,No,2,320,0.01%,3439.1,31.77
1,Vermont,50,"Master's degree (MA, MS)",7,Vaginal,1,No,2,549,0.01%,3445.71,33.01
1,Vermont,50,"Master's degree (MA, MS)",7,Cesarean,2,No,2,185,0.00%,3254.99,34.04
1,Vermont,50,"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Vaginal,1,No,2,155,0.00%,3409.98,33.98
1,Vermont,50,"Doctorate (PHD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,Cesarean,2,No,2,49,0.00%,3248.12,34.67
1,Vermont,50,Unknown/Not on certificate,Unk,Vaginal,1,No,2,21,0.00%,3331.55,30.52
1,Vermont,50,Unknown/Not on certificate,Unk,Cesarean,2,No,2,10,0.00%,3424.4,31.7
1,New Jersey,34,8th grade or less,1,Vaginal,1,Yes,1,40,0.00%,3053.05,27.38
1,New Jersey,34,8th grade or less,1,Vaginal,1,No,2,2968,0.08%,3285.81,29.56
1,New Jersey,34,8th grade or less,1,Vaginal,1,Not Stated,9,22,0.00%,3043.82,29.55
1,New Jersey,34,8th grade or less,1,Cesarean,2,Yes,1,32,0.00%,2719.28,30.34
1,New Jersey,34,8th grade or less,1,Cesarean,2,No,2,1395,0.04%,3263.69,31.28
1,New Jersey,34,9th through 12th grade with no diploma,2,Vaginal,1,Yes,1,466,0.01%,3009.58,26.32
1,New Jersey,34,9th through 12th grade with no diploma,2,Vaginal,1,No,2,4381,0.11%,3229.85,25.35
1,New Jersey,34,9th through 12th grade with no diploma,2,Vaginal,1,Not Stated,9,25,0.00%,3206.48,25.88
1,New Jersey,34,9th through 12th grade with no diploma,2,Cesarean,2,Yes,1,223,0.01%,2956.09,28.57
1,New Jersey,34,9th through 12th grade with no diploma,2,Cesarean,2,No,2,1973,0.05%,3154.71,27.93
1,New Jersey,34,9th through 12th grade with no diploma,2,Cesarean,2,Not Stated,9,14,0.00%,3263.07,27.57
1,New Jersey,34,High school graduate or GED completed,3,Vaginal,1,Yes,1,1193,0.03%,3076.51,27.38
1,New Jersey,34,High school graduate or GED completed,3,Vaginal,1,No,2,14241,0.36%,3274.49,27.27
1,New Jersey,34,High school graduate or GED completed,3,Vaginal,1,Not Stated,9,105,0.00%,3205.68,27.78
1,New Jersey,34,High school graduate or GED completed,3,Cesarean,2,Yes,1,723,0.02%,3026.59,28.53
1,New Jersey,34,High school graduate or GED completed,3,Cesarean,2,No,2,7357,0.19%,3191.1,29.19
1,New Jersey,34,High school graduate or GED completed,3,Cesarean,2,Not Stated,9,43,0.00%,3171.6,27.91
1,New Jersey,34,High school graduate or GED completed,3,Not Stated,9,No,2,10,0.00%,3397.5,25.1
1,New Jersey,34,"Some college credit, but not a degree",4,Vaginal,1,Yes,1,482,0.01%,3144.41,28.68
1,New Jersey,34,"Some college credit, but not a degree",4,Vaginal,1,No,2,8253,0.21%,3282.94,28.41
1,New Jersey,34,"Some college credit, but not a degree",4,Vaginal,1,Not Stated,9,52,0.00%,3237.67,28.23
1,New Jersey,34,"Some college credit, but not a degree",4,Cesarean,2,Yes,1,305,0.01%,3048.59,30.17
1,New Jersey,34,"Some college credit, but not a degree",4,Cesarean,2,No,2,4850,0.12%,3219.32,30.15
1,New Jersey,34,"Some college credit, but not a degree",4,Cesarean,2,Not Stated,9,37,0.00%,3210.78,30.92
1,New Jersey,34,"Associate degree (AA, AS)",5,Vaginal,1,Yes,1,121,0.00%,3185.21,30.34
1,New Jersey,34,"Associate degree (AA, AS)",5,Vaginal,1,No,2,4071,0.10%,3307.99,30.21
1,New Jersey,34,"Associate degree (AA, AS)",5,Vaginal,1,Not Stated,9,25,0.00%,3353.48,28.16
1,New Jersey,34,"Associate degree (AA, AS)",5,Cesarean,2,Yes,1,89,0.00%,3125.22,33.01
1,New Jersey,34,"Associate degree (AA, AS)",5,Cesarean,2,No,2,2665,0.07%,3241.91,31.57
1,New Jersey,34,"Associate degree (AA, AS)",5,Cesarean,2,Not Stated,9,27,0.00%,2854.33,32.78
1,New Jersey,34,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,Yes,1,119,0.00%,3260.32,31.56
1,New Jersey,34,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,No,2,16309,0.41%,3317.88,31.59
1,New Jersey,34,"Bachelor's degree (BA, AB, BS)",6,Vaginal,1,Not Stated,9,89,0.00%,3308.57,31.96
1,New Jersey,34,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,Yes,1,83,0.00%,3329.16,31.78
1,New Jersey,34,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,No,2,9918,0.25%,3238.19,32.95
1,New Jersey,34,"Bachelor's degree (BA, AB, BS)",6,Cesarean,2,Not Stated,9,76,0.00%,3089.16,32.88
1,New Jersey,34,"Bachelor's degree (BA, AB, BS)",6,Not Stated,9,No,2,11,0.00%,3185.45,32.18
1,New Jersey,34,"Master's degree (MA, MS)",7,Vaginal,1,Yes,1,30,0.00%,3242.93,34.07
1,New Jersey,34,"Master's degree (MA, MS)",7,Vaginal,1,No,2,9829,0.25%,3324.61,32.41
1,New Jersey,34,"Master's degree (MA, MS)",7,Vaginal,1,Not Stated,9,50,0.00%,3214.84,32.46
1,New Jersey,34,"Master's degree (MA, MS)",7,Cesarean,2,Yes,1,17,0.00%,3279.06,34.18
1,New Jersey,34,"Master's degree (MA, MS)",7,Cesarean,2,No,2,5793,0.15%,3227.09,33.79
